Date,Ticker,Open,High,Low,Close,Volume
2023-01-01,AMZN,424.64,443.05,419.03,423.16,4384238
2023-01-02,AMZN,303.72,313.49,284.65,307.05,79635491
2023-01-03,GOOG,147.87,163.23,146.58,162.16,28686670
2023-01-04,GOOG,459.85,467.68,450.67,462.16,91068312
2023-01-05,MSFT,274.98,294.19,261.43,263.17,62026496
2023-01-06,MSFT,245.01,256.27,233.3,236.33,27976484
2023-01-07,AMZN,486.36,490.05,476.78,477.99,24959108
2023-01-08,AMZN,399.97,409.58,385.19,387.99,49708130
2023-01-09,TSLA,483.45,488.73,467.1,487.23,23368388
2023-01-10,AAPL,311.56,323.81,298.03,320.94,88581697
2023-01-11,MSFT,219.92,234.2,216.08,231.85,44921243
2023-01-12,GOOG,353.92,371.14,337.5,367.75,47699663
2023-01-13,AAPL,230.64,241.86,225.23,241.48,70666232
2023-01-14,AAPL,442.32,452.48,431.68,432.62,94595441
2023-01-15,AAPL,447.25,451.05,440.23,442.12,65621512
2023-01-16,MSFT,478.65,493.94,473.63,491.72,21331807
2023-01-17,MSFT,174.67,186.36,165.03,186.16,67775865
2023-01-18,TSLA,141.53,148.93,140.04,140.64,91723510
2023-01-19,MSFT,218.01,236.7,198.99,226.73,20193504
2023-01-20,TSLA,329.94,334.45,321.47,327.91,13229181
2023-01-21,AAPL,291.87,310.8,289.3,294.06,96868741
2023-01-22,AAPL,263.49,272.52,252.01,260.88,81331804
2023-01-23,TSLA,269.56,274.37,263.58,273.57,81749816
2023-01-24,AMZN,259.12,271.68,254.92,262.55,98935795
2023-01-25,GOOG,450.6,467.39,435.3,441.93,9991040
2023-01-26,GOOG,331.42,343.55,316.69,320.76,22257617
2023-01-27,AMZN,105.0,116.13,90.49,100.92,30340521
2023-01-28,GOOG,249.89,263.45,248.38,262.3,9366306
2023-01-29,AMZN,311.93,330.57,299.93,324.41,31531175
2023-01-30,GOOG,439.28,443.21,434.61,441.04,84991977
2023-01-31,MSFT,472.04,486.5,455.3,465.8,52064698
2023-02-01,AAPL,409.1,423.71,406.32,419.55,60660144
2023-02-02,AMZN,186.73,202.25,167.34,196.18,53166851
2023-02-03,AAPL,327.43,330.65,307.56,328.28,9346967
2023-02-04,MSFT,114.67,124.62,101.94,121.42,54750481
2023-02-05,AMZN,109.3,120.47,97.34,116.18,45394394
2023-02-06,MSFT,322.7,330.66,314.05,328.56,20725852
2023-02-07,AMZN,384.18,392.95,372.78,383.11,78276193
2023-02-08,AMZN,373.27,378.11,372.43,374.36,93328730
2023-02-09,TSLA,477.64,494.39,476.49,482.85,72931706
2023-02-10,AMZN,211.42,226.45,201.91,225.43,6316907
2023-02-11,TSLA,325.36,344.49,315.18,319.3,12301189
2023-02-12,AAPL,493.96,507.31,487.31,499.46,12937585
2023-02-13,AMZN,315.49,327.92,308.67,319.09,70747795
2023-02-14,AMZN,195.95,204.07,188.43,198.68,20830613
2023-02-15,MSFT,321.81,323.52,313.1,320.4,90802947
2023-02-16,AMZN,417.01,431.98,403.07,403.58,57447021
2023-02-17,AAPL,366.3,375.41,360.02,370.16,46322261
2023-02-18,AMZN,364.27,379.36,359.41,376.85,9221648
2023-02-19,AMZN,153.02,157.94,145.68,147.13,53669768
2023-02-20,MSFT,208.78,228.76,200.88,201.51,29465315
2023-02-21,AAPL,448.26,458.21,445.55,456.03,18224815
2023-02-22,TSLA,475.88,482.12,456.52,466.55,58602694
2023-02-23,AAPL,386.94,392.92,367.25,371.33,88742424
2023-02-24,MSFT,311.75,330.76,305.58,316.7,73528304
2023-02-25,GOOG,388.04,399.39,378.16,381.19,13453386
2023-02-26,GOOG,455.34,464.46,448.3,463.82,97460792
