TaskName,Priority,DueDate
Task 35,965,2027-04-22
Task 29,934,2021-09-04
Task 23,890,2026-02-09
Task 56,879,2021-03-13
Task 6,848,2021-01-14
Task 22,831,2025-01-22
Task 51,825,2026-10-20
Task 26,803,2025-10-13
Task 42,803,2024-10-04
Task 44,781,2027-04-01
Task 15,763,2021-12-08
Prepare Presentation,700,2024-06-15
Task 43,690,2027-07-25
Task 33,689,2021-09-05
Task 41,671,2024-05-24
Task 60,670,2023-05-17
Task 31,668,2021-09-01
Task 59,667,2022-07-10
Task 20,601,2025-07-26
Review PR #42,600,2024-06-12
Task 7,600,2026-09-19
Task 38,596,2026-09-04
Task 19,591,2022-07-02
Task 36,566,2023-11-17
Task 30,559,2022-08-23
Task 28,549,2022-08-03
Task 50,545,2021-07-13
Task 18,524,2026-05-18
Task 39,508,2025-10-21
Write Report,500,2024-07-01
Task 58,472,2023-10-02
Task 49,464,2026-05-20
Task 12,460,2020-09-20
Update Documentation,450,2024-06-20
Task 10,441,2024-07-22
Task 24,439,2020-10-10
Task 34,436,2023-10-01
Task 55,433,2027-08-22
Task 5,421,2026-02-02
Task 32,412,2026-03-16
Task 25,409,2023-07-05
Plan Sprint,400,2024-06-07
Task 52,387,2023-09-06
Task 54,383,2026-11-22
Task 21,379,2023-02-02
Task 45,377,2025-11-21
Task 2,345,2023-09-04
Task 11,323,2027-11-26
Submit Invoice,300,2024-06-05
Task 53,272,2023-02-09
Task 3,264,2023-07-16
Task 4,242,2024-03-25
Task 13,240,2023-12-02
Task 17,215,2024-12-15
Team Meeting,200,2024-06-01
Task 47,199,2021-11-23
Task 48,183,2024-12-02
Task 16,176,2024-10-04
Task 57,104,2020-10-04
Doctor Appointment,100,2024-06-03
Task 8,80,2020-08-02
Task 40,63,2021-08-11
Task 37,54,2021-03-19
Task 14,3,2023-04-20
Task 27,998,2025-11-11
Task 46,988,2020-10-08
Task 1,967,2027-07-02
Task 9,915,2020-09-23
Implement Feature X,900,2024-07-10
Fix Bug #132,800,2024-06-10
Test Task,1,2023-10-31
