TaskName,Priority,DueDate
Task 11,931,2022-02-09
Task 1,793,2024-07-25
Task 15,787,2021-02-16
Task 13,777,2024-09-26
Task 13,714,2023-08-24
Task 1,704,2023-12-20
Task 3,704,2024-06-20
Prepare Presentation,700,2024-06-15
Task 20,652,2023-03-05
Task 17,618,2020-05-26
Task 14,601,2023-06-25
Review PR #42,600,2024-06-12
Task 6,578,2020-10-11
Task 11,542,2023-03-10
Task 8,524,2024-02-20
Task 8,514,2020-11-15
Write Report,500,2024-07-01
Task 4,490,2024-04-19
Task 9,469,2025-08-25
Task 6,462,2023-07-14
Task 15,457,2024-11-02
Update Documentation,450,2024-06-20
Task 16,435,2022-11-17
Task 5,426,2024-03-16
Task 18,405,2022-01-14
Plan Sprint,400,2024-06-07
Task 7,373,2023-03-22
Task 19,370,2021-04-24
Task 19,363,2022-08-16
Task 3,347,2021-06-02
Task 18,318,2022-10-10
Submit Invoice,300,2024-06-05
Task 20,294,2024-08-14
Task 12,242,2025-03-17
Task 16,240,2023-11-12
Task 2,208,2023-04-04
Team Meeting,200,2024-06-01
Task 12,126,2025-04-11
Task 2,122,2020-03-06
Task 14,106,2025-06-04
Doctor Appointment,100,2024-06-03
Task 10,73,2021-06-15
Task 9,40,2025-09-27
Task 10,32,2022-03-24
Task 4,950,2024-05-16
Task 5,942,2020-09-12
Implement Feature X,900,2024-07-10
Task 17,879,2024-07-03
Task 7,863,2020-09-23
Fix Bug #132,800,2024-06-10
Test Task,1,2023-10-31
